"anio","provincia_nombre","provincia_id","nacimientos","TBN","TGF","TFA"
2020,"Santiago del Estero",86,15201,"15.54","1.93","25.37"
2020,"Tierra del Fuego",94,1911,"11.02","1.36","7.82"
2020,"Tucumán",90,21222,"12.52","1.58","16.51"
2021,"Buenos Aires",6,179652,"10.14","1.39","11.46"
2021,"Catamarca",10,4644,"11.08","1.45","13.54"
2021,"Chaco",22,16756,"13.78","1.71","24.46"
2021,"Chubut",26,6100,"9.7","1.29","8.59"
2021,"Ciudad de Buenos Aires",2,24729,"8.03","1.08","2.82"
2021,"Córdoba",14,42801,"11.27","1.49","13.02"
2021,"Corrientes",18,15459,"13.68","1.73","22.39"
2021,"Entre Ríos",30,15993,"11.44","1.54","15.16"
2021,"Formosa",34,8266,"13.55","1.71","26.22"
2021,"Jujuy",38,8015,"10.29","1.32","10.88"
2021,"La Pampa",42,3652,"10.11","1.39","10.24"
2021,"La Rioja",46,4342,"10.89","1.31","11.42"
2021,"Mendoza",50,21908,"10.9","1.46","10.58"
2021,"Misiones",54,20345,"15.96","1.96","27.49"
2021,"Neuquén",58,7425,"11.04","1.47","10.25"
2021,"Río Negro",62,8025,"10.6","1.42","9.55"
2021,"Salta",66,18747,13,"1.64","18.01"
2021,"San Juan",70,10617,"13.45","1.77","18.41"
2021,"San Luis",74,5721,"11.12","1.45","12.23"
2021,"Santa Cruz",78,3394,"9.06","1.16","8.89"
2021,"Santa Fe",82,41360,"11.61","1.55","15.45"
2021,"Santiago del Estero",86,14475,"14.65","1.83","21.68"
2021,"Tierra del Fuego",94,1659,"9.34","1.17","5.14"
2021,"Tucumán",90,20639,"12.04","1.53","13.14"
2022,"Buenos Aires",6,164228,"9.19","1.27","10.19"
2022,"Catamarca",10,4549,"10.77","1.42","11.92"
2022,"Chaco",22,13837,"11.27","1.49","19.22"
2022,"Chubut",26,5701,"8.92","1.21","7.41"
2022,"Ciudad de Buenos Aires",2,23401,"7.59",1,"2.8"
2022,"Córdoba",14,39238,"10.23","1.37","12.07"
2022,"Corrientes",18,14094,"12.37","1.59","19.71"
2022,"Entre Ríos",30,14316,"10.15","1.38","12.59"
2022,"Formosa",34,7824,"12.73","1.62","21.84"
2022,"Jujuy",38,6765,"8.59","1.15","8.31"
2022,"La Pampa",42,3364,"9.23","1.29","9.68"
2022,"La Rioja",46,4267,"10.57","1.28","10.25"
2022,"Mendoza",50,20717,"10.21","1.38","9.81"
2022,"Misiones",54,18959,"14.71","1.81","23.17"
2022,"Neuquén",58,7227,"10.62","1.43","7.91"
2022,"Río Negro",62,7377,"9.63","1.33","8.67"
2022,"Salta",66,17726,"12.15","1.54","16.02"
2022,"San Juan",70,9951,"12.47","1.66","16.36"
2022,"San Luis",74,5295,"10.17","1.34","11.26"
2022,"Santa Cruz",78,3527,"9.19","1.19","8.96"
2022,"Santa Fe",82,38368,"10.69","1.46","14.95"
2022,"Santiago del Estero",86,14001,"14.03","1.76","19.31"
2022,"Tierra del Fuego",94,1515,"8.32","1.04","5.31"
2022,"Tucumán",90,18706,"10.79","1.4","11.85"
